'Symptom 1','Symptom 2','Symptom 3','Symptom 4','Symptom 5','Symptom 6','Symptom 7','Symptom 8','Symptom 9','Symptom 10','Symptom 11','Symptom 12','Symptom 13','Symptom 14','Symptom 15','Symptom 16','Symptom 17',Disease
itching,' skin_rash',' fatigue',' lethargy',' high_fever',' headache',' loss_of_appetite',' mild_fever',' swelled_lymph_nodes',' malaise',' red_spots_over_body',0,0,0,0,0,0,'Chicken pox'
' skin_rash',' joint_pain',' skin_peeling',' silver_like_dusting',' small_dents_in_nails',' inflammatory_nails',0,0,0,0,0,0,0,0,0,0,0,Psoriasis
' muscle_weakness',' stiff_neck',' swelling_joints',' movement_stiffness',' painful_walking',0,0,0,0,0,0,0,0,0,0,0,0,Arthritis
' fatigue',' weight_gain',' cold_hands_and_feets',' mood_swings',' lethargy',' dizziness',' puffy_face_and_eyes',' enlarged_thyroid',' brittle_nails',' swollen_extremeties',' depression',' irritability',' abnormal_menstruation',0,0,0,0,Hypothyroidism
' fatigue',' cramps',' bruising',' obesity',' swollen_blood_vessels',' prominent_veins_on_calf',0,0,0,0,0,0,0,0,0,0,0,'Varicose veins'
' skin_rash',' stomach_pain',' burning_micturition',' spotting_ urination',0,0,0,0,0,0,0,0,0,0,0,0,0,'Drug Reaction'
' headache',' chest_pain',' dizziness',' loss_of_balance',0,0,0,0,0,0,0,0,0,0,0,0,0,'Hypertension '
' fatigue',' mood_swings',' weight_loss',' restlessness',' sweating',' diarrhoea',' fast_heart_rate',' excessive_hunger',' muscle_weakness',' irritability',' abnormal_menstruation',0,0,0,0,0,0,Hyperthyroidism
itching,' stomach_pain',' burning_micturition',' spotting_ urination',0,0,0,0,0,0,0,0,0,0,0,0,0,'Drug Reaction'
' chills',' vomiting',' weight_loss',' cough',' high_fever',' breathlessness',' sweating',' loss_of_appetite',' mild_fever',' yellowing_of_eyes',' swelled_lymph_nodes',' malaise',' phlegm',' chest_pain',' blood_in_sputum',0,0,Tuberculosis
' continuous_sneezing',' shivering',' chills',' watering_from_eyes',0,0,0,0,0,0,0,0,0,0,0,0,0,Allergy
' fatigue',' mood_swings',' weight_loss',' restlessness',' sweating',' diarrhoea',' fast_heart_rate',' excessive_hunger',' muscle_weakness',' irritability',' abnormal_menstruation',0,0,0,0,0,0,Hyperthyroidism
' fatigue',' anxiety',' sweating',' headache',' nausea',' blurred_and_distorted_vision',' excessive_hunger',' drying_and_tingling_lips',' slurred_speech',' irritability',' palpitations',0,0,0,0,0,0,Hypoglycemia
' breathlessness',' sweating',' chest_pain',0,0,0,0,0,0,0,0,0,0,0,0,0,0,'Heart attack'
' joint_pain',' neck_pain',' knee_pain',' hip_joint_pain',' swelling_joints',' painful_walking',0,0,0,0,0,0,0,0,0,0,0,Osteoarthristis
' vomiting',' fatigue',' sweating',' headache',' nausea',' blurred_and_distorted_vision',' excessive_hunger',' drying_and_tingling_lips',' slurred_speech',' irritability',' palpitations',0,0,0,0,0,0,Hypoglycemia
' breathlessness',' sweating',' chest_pain',0,0,0,0,0,0,0,0,0,0,0,0,0,0,'Heart attack'
' joint_pain',' vomiting',' yellowish_skin',' dark_urine',' nausea',' loss_of_appetite',' abdominal_pain',' diarrhoea',' mild_fever',' yellowing_of_eyes',' muscle_pain',0,0,0,0,0,0,'hepatitis A'
' joint_pain',' vomiting',' fatigue',' yellowish_skin',' dark_urine',' loss_of_appetite',' abdominal_pain',' yellowing_of_eyes',0,0,0,0,0,0,0,0,0,'Hepatitis D'
' fatigue',' cramps',' bruising',' obesity',' swollen_legs',' prominent_veins_on_calf',0,0,0,0,0,0,0,0,0,0,0,'Varicose veins'
' skin_rash',' pus_filled_pimples',' blackheads',' scurring',0,0,0,0,0,0,0,0,0,0,0,0,0,Acne
' continuous_sneezing',' shivering',' chills',' watering_from_eyes',0,0,0,0,0,0,0,0,0,0,0,0,0,Allergy
' vomiting',' breathlessness',' sweating',' chest_pain',0,0,0,0,0,0,0,0,0,0,0,0,0,'Heart attack'
' vomiting',' breathlessness',' sweating',' chest_pain',0,0,0,0,0,0,0,0,0,0,0,0,0,'Heart attack'
' skin_rash',' pus_filled_pimples',' blackheads',' scurring',0,0,0,0,0,0,0,0,0,0,0,0,0,Acne
' fatigue',' mood_swings',' weight_loss',' sweating',' diarrhoea',' fast_heart_rate',' excessive_hunger',' muscle_weakness',' irritability',' abnormal_menstruation',0,0,0,0,0,0,0,Hyperthyroidism
' vomiting',' yellowish_skin',' abdominal_pain',' swelling_of_stomach',' distention_of_abdomen',' history_of_alcohol_consumption',' fluid_overload',0,0,0,0,0,0,0,0,0,0,'Alcoholic hepatitis'
' fatigue',' weight_gain',' cold_hands_and_feets',' mood_swings',' lethargy',' dizziness',' puffy_face_and_eyes',' enlarged_thyroid',' brittle_nails',' swollen_extremeties',' depression',' irritability',' abnormal_menstruation',0,0,0,0,Hypothyroidism
' chills',' vomiting',' fatigue',' high_fever',' headache',' nausea',' constipation',' abdominal_pain',' diarrhoea',' toxic_look_(typhos)',' belly_pain',0,0,0,0,0,0,Typhoid
' vomiting',' sunken_eyes',' dehydration',' diarrhoea',0,0,0,0,0,0,0,0,0,0,0,0,0,Gastroenteritis
' vomiting',' headache',' nausea',' spinning_movements',' loss_of_balance',0,0,0,0,0,0,0,0,0,0,0,0,'(vertigo) Paroymsal  Positional Vertigo'
' vomiting',' weakness_of_one_body_side',' altered_sensorium',0,0,0,0,0,0,0,0,0,0,0,0,0,0,'Paralysis (brain hemorrhage)'
' back_pain',' weakness_in_limbs',' neck_pain',' dizziness',' loss_of_balance',0,0,0,0,0,0,0,0,0,0,0,0,'Cervical spondylosis'
itching,' vomiting',' fatigue',' weight_loss',' high_fever',' yellowish_skin',' dark_urine',' abdominal_pain',0,0,0,0,0,0,0,0,0,Jaundice
' weight_gain',' cold_hands_and_feets',' mood_swings',' lethargy',' dizziness',' puffy_face_and_eyes',' enlarged_thyroid',' brittle_nails',' swollen_extremeties',' depression',' irritability',' abnormal_menstruation',0,0,0,0,0,Hypothyroidism
' vomiting',' sunken_eyes',' diarrhoea',0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gastroenteritis
' muscle_wasting',' patches_in_throat',' high_fever',' extra_marital_contacts',0,0,0,0,0,0,0,0,0,0,0,0,0,AIDS
' chills',' vomiting',' fatigue',' weight_loss',' cough',' high_fever',' breathlessness',' sweating',' loss_of_appetite',' mild_fever',' yellowing_of_eyes',' swelled_lymph_nodes',' malaise',' phlegm',' chest_pain',' blood_in_sputum',0,Tuberculosis
' fatigue',' cramps',' bruising',' obesity',' swollen_legs',' swollen_blood_vessels',' prominent_veins_on_calf',0,0,0,0,0,0,0,0,0,0,'Varicose veins'
' continuous_sneezing',' chills',' fatigue',' cough',' high_fever',' headache',' swelled_lymph_nodes',' malaise',' phlegm',' throat_irritation',' redness_of_eyes',' sinus_pressure',' runny_nose',' congestion',' chest_pain',' loss_of_smell',' muscle_pain','Common Cold'
' joint_pain',' vomiting',' fatigue',' yellowish_skin',' dark_urine',' nausea',' loss_of_appetite',' abdominal_pain',' yellowing_of_eyes',0,0,0,0,0,0,0,0,'Hepatitis D'
itching,' vomiting',' yellowish_skin',' nausea',' loss_of_appetite',' yellowing_of_eyes',0,0,0,0,0,0,0,0,0,0,0,'Chronic cholestasis'
' joint_pain',' vomiting',' fatigue',' yellowish_skin',' dark_urine',' loss_of_appetite',' abdominal_pain',' yellowing_of_eyes',0,0,0,0,0,0,0,0,0,'Hepatitis D'
' chills',' vomiting',' fatigue',' high_fever',' headache',' nausea',' constipation',' abdominal_pain',' diarrhoea',' toxic_look_(typhos)',' belly_pain',0,0,0,0,0,0,Typhoid
' back_pain',' weakness_in_limbs',' neck_pain',' dizziness',' loss_of_balance',0,0,0,0,0,0,0,0,0,0,0,0,'Cervical spondylosis'
itching,' fatigue',' lethargy',' yellowish_skin',' dark_urine',' loss_of_appetite',' abdominal_pain',' yellow_urine',' yellowing_of_eyes',' malaise',' receiving_blood_transfusion',' receiving_unsterile_injections',0,0,0,0,0,'Hepatitis B'
' muscle_weakness',' stiff_neck',' swelling_joints',' movement_stiffness',' painful_walking',0,0,0,0,0,0,0,0,0,0,0,0,Arthritis
' vomiting',' breathlessness',' sweating',' chest_pain',0,0,0,0,0,0,0,0,0,0,0,0,0,'Heart attack'
' joint_pain',' vomiting',' yellowish_skin',' dark_urine',' nausea',' loss_of_appetite',' abdominal_pain',' diarrhoea',' mild_fever',' yellowing_of_eyes',' muscle_pain',0,0,0,0,0,0,'hepatitis A'
' vomiting',' headache',' nausea',' spinning_movements',' loss_of_balance',' unsteadiness',0,0,0,0,0,0,0,0,0,0,0,'(vertigo) Paroymsal  Positional Vertigo'
itching,' skin_rash',' stomach_pain',' burning_micturition',' spotting_ urination',0,0,0,0,0,0,0,0,0,0,0,0,'Drug Reaction'
' muscle_weakness',' stiff_neck',' swelling_joints',' movement_stiffness',' painful_walking',0,0,0,0,0,0,0,0,0,0,0,0,Arthritis
' chills',' vomiting',' fatigue',' high_fever',' headache',' nausea',' constipation',' abdominal_pain',' diarrhoea',' toxic_look_(typhos)',' belly_pain',0,0,0,0,0,0,Typhoid
itching,' skin_rash',' nodal_skin_eruptions',' dischromic _patches',0,0,0,0,0,0,0,0,0,0,0,0,0,'Fungal infection'
' vomiting',' fatigue',' anxiety',' sweating',' headache',' nausea',' blurred_and_distorted_vision',' excessive_hunger',' drying_and_tingling_lips',' slurred_speech',' irritability',' palpitations',0,0,0,0,0,Hypoglycemia
' chills',' vomiting',' high_fever',' headache',' nausea',' diarrhoea',' muscle_pain',0,0,0,0,0,0,0,0,0,0,Malaria
' skin_rash',' joint_pain',' silver_like_dusting',' small_dents_in_nails',' inflammatory_nails',0,0,0,0,0,0,0,0,0,0,0,0,Psoriasis
' continuous_sneezing',' shivering',' chills',' watering_from_eyes',0,0,0,0,0,0,0,0,0,0,0,0,0,Allergy
' fatigue',' weight_loss',' restlessness',' lethargy',' irregular_sugar_level',' blurred_and_distorted_vision',' obesity',' increased_appetite',' polyuria',0,0,0,0,0,0,0,0,'Diabetes '
' neck_pain',' knee_pain',' hip_joint_pain',' swelling_joints',' painful_walking',0,0,0,0,0,0,0,0,0,0,0,0,Osteoarthristis
' joint_pain',' vomiting',' fatigue',' high_fever',' yellowish_skin',' dark_urine',' nausea',' loss_of_appetite',' abdominal_pain',' yellowing_of_eyes',' acute_liver_failure',' coma',' stomach_bleeding',0,0,0,0,'Hepatitis E'
' fatigue',' mood_swings',' weight_loss',' restlessness',' sweating',' diarrhoea',' fast_heart_rate',' muscle_weakness',' irritability',' abnormal_menstruation',0,0,0,0,0,0,0,Hyperthyroidism
itching,' vomiting',' fatigue',' high_fever',' yellowish_skin',' dark_urine',' abdominal_pain',0,0,0,0,0,0,0,0,0,0,Jaundice
' vomiting',' headache',' nausea',' spinning_movements',' loss_of_balance',' unsteadiness',0,0,0,0,0,0,0,0,0,0,0,'(vertigo) Paroymsal  Positional Vertigo'
' chills',' vomiting',' fatigue',' high_fever',' headache',' nausea',' constipation',' abdominal_pain',' diarrhoea',' toxic_look_(typhos)',' belly_pain',0,0,0,0,0,0,Typhoid
' fatigue',' yellowish_skin',' nausea',' loss_of_appetite',' yellowing_of_eyes',' family_history',0,0,0,0,0,0,0,0,0,0,0,'Hepatitis C'
' fatigue',' cough',' high_fever',' breathlessness',' family_history',' mucoid_sputum',0,0,0,0,0,0,0,0,0,0,0,'Bronchial Asthma'
' joint_pain',' vomiting',' fatigue',' high_fever',' yellowish_skin',' dark_urine',' nausea',' loss_of_appetite',' abdominal_pain',' yellowing_of_eyes',' acute_liver_failure',' coma',' stomach_bleeding',0,0,0,0,'Hepatitis E'
' back_pain',' weakness_in_limbs',' neck_pain',' dizziness',' loss_of_balance',0,0,0,0,0,0,0,0,0,0,0,0,'Cervical spondylosis'
' vomiting',' indigestion',' loss_of_appetite',' abdominal_pain',' passage_of_gases',' internal_itching',0,0,0,0,0,0,0,0,0,0,0,'Peptic ulcer diseae'
itching,' vomiting',' fatigue',' weight_loss',' high_fever',' yellowish_skin',' dark_urine',' abdominal_pain',0,0,0,0,0,0,0,0,0,Jaundice
' vomiting',' indigestion',' loss_of_appetite',' passage_of_gases',' internal_itching',0,0,0,0,0,0,0,0,0,0,0,0,'Peptic ulcer diseae'
' back_pain',' weakness_in_limbs',' neck_pain',' dizziness',' loss_of_balance',0,0,0,0,0,0,0,0,0,0,0,0,'Cervical spondylosis'
' chills',' fatigue',' cough',' high_fever',' breathlessness',' sweating',' malaise',' phlegm',' chest_pain',' fast_heart_rate',' rusty_sputum',0,0,0,0,0,0,Pneumonia
' vomiting',' sunken_eyes',' dehydration',' diarrhoea',0,0,0,0,0,0,0,0,0,0,0,0,0,Gastroenteritis
' stomach_pain',' acidity',' ulcers_on_tongue',' vomiting',' cough',' chest_pain',0,0,0,0,0,0,0,0,0,0,0,GERD
' burning_micturition',' bladder_discomfort',' foul_smell_of urine',' continuous_feel_of_urine',0,0,0,0,0,0,0,0,0,0,0,0,0,'Urinary tract infection'
' vomiting',' breathlessness',' sweating',' chest_pain',0,0,0,0,0,0,0,0,0,0,0,0,0,'Heart attack'
' skin_rash',' joint_pain',' skin_peeling',' silver_like_dusting',' small_dents_in_nails',' inflammatory_nails',0,0,0,0,0,0,0,0,0,0,0,Psoriasis
itching,' fatigue',' lethargy',' yellowish_skin',' dark_urine',' loss_of_appetite',' abdominal_pain',' yellow_urine',' yellowing_of_eyes',' malaise',' receiving_blood_transfusion',' receiving_unsterile_injections',0,0,0,0,0,'Hepatitis B'
' fatigue',' mood_swings',' weight_loss',' restlessness',' sweating',' fast_heart_rate',' excessive_hunger',' muscle_weakness',' irritability',' abnormal_menstruation',0,0,0,0,0,0,0,Hyperthyroidism
' continuous_sneezing',' shivering',' chills',' watering_from_eyes',0,0,0,0,0,0,0,0,0,0,0,0,0,Allergy
' skin_rash',' high_fever',' blister',' red_sore_around_nose',' yellow_crust_ooze',0,0,0,0,0,0,0,0,0,0,0,0,Impetigo
' chills',' vomiting',' fatigue',' high_fever',' headache',' nausea',' constipation',' abdominal_pain',' diarrhoea',' toxic_look_(typhos)',' belly_pain',0,0,0,0,0,0,Typhoid
' vomiting',' fatigue',' anxiety',' sweating',' headache',' nausea',' blurred_and_distorted_vision',' excessive_hunger',' drying_and_tingling_lips',' slurred_speech',' irritability',' palpitations',0,0,0,0,0,Hypoglycemia
itching,' vomiting',' yellowish_skin',' nausea',' loss_of_appetite',' abdominal_pain',' yellowing_of_eyes',0,0,0,0,0,0,0,0,0,0,'Chronic cholestasis'
' skin_rash',' chills',' joint_pain',' vomiting',' fatigue',' high_fever',' headache',' nausea',' loss_of_appetite',' pain_behind_the_eyes',' back_pain',' malaise',' muscle_pain',' red_spots_over_body',0,0,0,Dengue
' weight_loss',' restlessness',' lethargy',' irregular_sugar_level',' blurred_and_distorted_vision',' obesity',' excessive_hunger',' increased_appetite',' polyuria',0,0,0,0,0,0,0,0,'Diabetes '
' fatigue',' mood_swings',' weight_loss',' restlessness',' sweating',' diarrhoea',' fast_heart_rate',' excessive_hunger',' muscle_weakness',' irritability',' abnormal_menstruation',0,0,0,0,0,0,Hyperthyroidism
itching,' skin_rash',' fatigue',' lethargy',' high_fever',' headache',' loss_of_appetite',' swelled_lymph_nodes',' malaise',' red_spots_over_body',0,0,0,0,0,0,0,'Chicken pox'
' fatigue',' cramps',' bruising',' obesity',' swollen_legs',' swollen_blood_vessels',' prominent_veins_on_calf',0,0,0,0,0,0,0,0,0,0,'Varicose veins'
' chest_pain',' dizziness',' loss_of_balance',' lack_of_concentration',0,0,0,0,0,0,0,0,0,0,0,0,0,'Hypertension '
' vomiting',' headache',' nausea',' spinning_movements',' loss_of_balance',' unsteadiness',0,0,0,0,0,0,0,0,0,0,0,'(vertigo) Paroymsal  Positional Vertigo'
itching,' vomiting',' fatigue',' weight_loss',' high_fever',' yellowish_skin',' dark_urine',' abdominal_pain',0,0,0,0,0,0,0,0,0,Jaundice
' chills',' fatigue',' cough',' high_fever',' breathlessness',' sweating',' malaise',' phlegm',' chest_pain',' fast_heart_rate',' rusty_sputum',0,0,0,0,0,0,Pneumonia
' burning_micturition',' bladder_discomfort',' foul_smell_of urine',' continuous_feel_of_urine',0,0,0,0,0,0,0,0,0,0,0,0,0,'Urinary tract infection'
' fatigue',' cramps',' bruising',' obesity',' swollen_legs',' swollen_blood_vessels',' prominent_veins_on_calf',0,0,0,0,0,0,0,0,0,0,'Varicose veins'
' back_pain',' weakness_in_limbs',' neck_pain',' dizziness',' loss_of_balance',0,0,0,0,0,0,0,0,0,0,0,0,'Cervical spondylosis'
' vomiting',' headache',' nausea',' spinning_movements',' loss_of_balance',' unsteadiness',0,0,0,0,0,0,0,0,0,0,0,'(vertigo) Paroymsal  Positional Vertigo'
' joint_pain',' neck_pain',' knee_pain',' hip_joint_pain',' swelling_joints',' painful_walking',0,0,0,0,0,0,0,0,0,0,0,Osteoarthristis
' fatigue',' mood_swings',' weight_loss',' restlessness',' sweating',' fast_heart_rate',' excessive_hunger',' muscle_weakness',' irritability',' abnormal_menstruation',0,0,0,0,0,0,0,Hyperthyroidism
' vomiting',' sunken_eyes',' dehydration',' diarrhoea',0,0,0,0,0,0,0,0,0,0,0,0,0,Gastroenteritis
' chills',' vomiting',' fatigue',' weight_loss',' cough',' high_fever',' breathlessness',' sweating',' loss_of_appetite',' mild_fever',' yellowing_of_eyes',' swelled_lymph_nodes',' malaise',' phlegm',' chest_pain',' blood_in_sputum',0,Tuberculosis
' vomiting',' fatigue',' anxiety',' headache',' nausea',' blurred_and_distorted_vision',' excessive_hunger',' drying_and_tingling_lips',' slurred_speech',' irritability',' palpitations',0,0,0,0,0,0,Hypoglycemia
' joint_pain',' vomiting',' fatigue',' yellowish_skin',' dark_urine',' nausea',' loss_of_appetite',' abdominal_pain',' yellowing_of_eyes',0,0,0,0,0,0,0,0,'Hepatitis D'
' joint_pain',' neck_pain',' knee_pain',' hip_joint_pain',' swelling_joints',' painful_walking',0,0,0,0,0,0,0,0,0,0,0,Osteoarthristis
' chills',' vomiting',' fatigue',' high_fever',' headache',' nausea',' constipation',' abdominal_pain',' diarrhoea',' toxic_look_(typhos)',' belly_pain',0,0,0,0,0,0,Typhoid
' joint_pain',' vomiting',' fatigue',' high_fever',' yellowish_skin',' dark_urine',' nausea',' loss_of_appetite',' abdominal_pain',' yellowing_of_eyes',' acute_liver_failure',' coma',' stomach_bleeding',0,0,0,0,'Hepatitis E'
' muscle_weakness',' stiff_neck',' swelling_joints',' movement_stiffness',' painful_walking',0,0,0,0,0,0,0,0,0,0,0,0,Arthritis
' chills',' fatigue',' weight_loss',' cough',' high_fever',' breathlessness',' sweating',' loss_of_appetite',' mild_fever',' yellowing_of_eyes',' swelled_lymph_nodes',' malaise',' phlegm',' chest_pain',' blood_in_sputum',0,0,Tuberculosis
' stomach_pain',' acidity',' vomiting',' cough',' chest_pain',0,0,0,0,0,0,0,0,0,0,0,0,GERD
' acidity',' indigestion',' headache',' blurred_and_distorted_vision',' excessive_hunger',' stiff_neck',' depression',' irritability',' visual_disturbances',0,0,0,0,0,0,0,0,Migraine
itching,' vomiting',' yellowish_skin',' nausea',' loss_of_appetite',' abdominal_pain',' yellowing_of_eyes',0,0,0,0,0,0,0,0,0,0,'Chronic cholestasis'
' continuous_sneezing',' chills',' fatigue',' cough',' high_fever',' headache',' swelled_lymph_nodes',' malaise',' phlegm',' throat_irritation',' redness_of_eyes',' sinus_pressure',' runny_nose',' congestion',' chest_pain',' loss_of_smell',' muscle_pain','Common Cold'
' vomiting',' breathlessness',' sweating',0,0,0,0,0,0,0,0,0,0,0,0,0,0,'Heart attack'
' acidity',' indigestion',' headache',' blurred_and_distorted_vision',' excessive_hunger',' stiff_neck',' depression',' irritability',' visual_disturbances',0,0,0,0,0,0,0,0,Migraine
' vomiting',' high_fever',' sweating',' headache',' nausea',' diarrhoea',' muscle_pain',0,0,0,0,0,0,0,0,0,0,Malaria
itching,' fatigue',' lethargy',' yellowish_skin',' dark_urine',' loss_of_appetite',' abdominal_pain',' yellow_urine',' yellowing_of_eyes',' malaise',' receiving_blood_transfusion',' receiving_unsterile_injections',0,0,0,0,0,'Hepatitis B'
' indigestion',' headache',' blurred_and_distorted_vision',' excessive_hunger',' stiff_neck',' depression',' irritability',' visual_disturbances',0,0,0,0,0,0,0,0,0,Migraine
' joint_pain',' vomiting',' fatigue',' high_fever',' yellowish_skin',' dark_urine',' nausea',' loss_of_appetite',' abdominal_pain',' yellowing_of_eyes',' acute_liver_failure',' coma',' stomach_bleeding',0,0,0,0,'Hepatitis E'
' constipation',' pain_during_bowel_movements',' pain_in_anal_region',' bloody_stool',' irritation_in_anus',0,0,0,0,0,0,0,0,0,0,0,0,'Dimorphic hemmorhoids(piles)'
' joint_pain',' vomiting',' yellowish_skin',' dark_urine',' loss_of_appetite',' abdominal_pain',' diarrhoea',' mild_fever',' yellowing_of_eyes',' muscle_pain',0,0,0,0,0,0,0,'hepatitis A'
itching,' skin_rash',' dischromic _patches',0,0,0,0,0,0,0,0,0,0,0,0,0,0,'Fungal infection'
itching,' fatigue',' yellowish_skin',' dark_urine',' loss_of_appetite',' abdominal_pain',' yellow_urine',' yellowing_of_eyes',' malaise',' receiving_blood_transfusion',' receiving_unsterile_injections',0,0,0,0,0,0,'Hepatitis B'
' chills',' vomiting',' fatigue',' weight_loss',' cough',' breathlessness',' sweating',' loss_of_appetite',' mild_fever',' yellowing_of_eyes',' swelled_lymph_nodes',' malaise',' phlegm',' chest_pain',' blood_in_sputum',0,0,Tuberculosis
' muscle_weakness',' stiff_neck',' swelling_joints',' movement_stiffness',' painful_walking',0,0,0,0,0,0,0,0,0,0,0,0,Arthritis
' joint_pain',' vomiting',' yellowish_skin',' dark_urine',' nausea',' loss_of_appetite',' abdominal_pain',' diarrhoea',' mild_fever',' yellowing_of_eyes',' muscle_pain',0,0,0,0,0,0,'hepatitis A'
itching,' skin_rash',' fatigue',' lethargy',' high_fever',' headache',' loss_of_appetite',' mild_fever',' swelled_lymph_nodes',' malaise',' red_spots_over_body',0,0,0,0,0,0,'Chicken pox'
itching,' skin_rash',' nodal_skin_eruptions',' dischromic _patches',0,0,0,0,0,0,0,0,0,0,0,0,0,'Fungal infection'
itching,' skin_rash',' stomach_pain',' burning_micturition',0,0,0,0,0,0,0,0,0,0,0,0,0,'Drug Reaction'
' chills',' fatigue',' cough',' high_fever',' breathlessness',' sweating',' malaise',' phlegm',' chest_pain',' fast_heart_rate',' rusty_sputum',0,0,0,0,0,0,Pneumonia
' chills',' vomiting',' fatigue',' high_fever',' headache',' nausea',' constipation',' diarrhoea',' toxic_look_(typhos)',' belly_pain',0,0,0,0,0,0,0,Typhoid
' muscle_weakness',' stiff_neck',' swelling_joints',' movement_stiffness',' painful_walking',0,0,0,0,0,0,0,0,0,0,0,0,Arthritis
' fatigue',' weight_gain',' cold_hands_and_feets',' mood_swings',' lethargy',' dizziness',' puffy_face_and_eyes',' enlarged_thyroid',' brittle_nails',' swollen_extremeties',' depression',' irritability',' abnormal_menstruation',0,0,0,0,Hypothyroidism
' vomiting',' yellowish_skin',' abdominal_pain',' swelling_of_stomach',' distention_of_abdomen',' history_of_alcohol_consumption',' fluid_overload',0,0,0,0,0,0,0,0,0,0,'Alcoholic hepatitis'
' stomach_pain',' acidity',' ulcers_on_tongue',' vomiting',' cough',' chest_pain',0,0,0,0,0,0,0,0,0,0,0,GERD
' fatigue',' weight_gain',' cold_hands_and_feets',' mood_swings',' lethargy',' dizziness',' puffy_face_and_eyes',' enlarged_thyroid',' brittle_nails',' swollen_extremeties',' depression',' irritability',' abnormal_menstruation',0,0,0,0,Hypothyroidism
' chills',' vomiting',' fatigue',' high_fever',' headache',' nausea',' constipation',' abdominal_pain',' diarrhoea',' toxic_look_(typhos)',' belly_pain',0,0,0,0,0,0,Typhoid
' continuous_sneezing',' shivering',' watering_from_eyes',0,0,0,0,0,0,0,0,0,0,0,0,0,0,Allergy
' skin_rash',' joint_pain',' silver_like_dusting',' small_dents_in_nails',' inflammatory_nails',0,0,0,0,0,0,0,0,0,0,0,0,Psoriasis
' chills',' vomiting',' fatigue',' high_fever',' nausea',' constipation',' abdominal_pain',' diarrhoea',' toxic_look_(typhos)',' belly_pain',0,0,0,0,0,0,0,Typhoid
' skin_rash',' joint_pain',' skin_peeling',' small_dents_in_nails',' inflammatory_nails',0,0,0,0,0,0,0,0,0,0,0,0,Psoriasis
' muscle_wasting',' patches_in_throat',' high_fever',' extra_marital_contacts',0,0,0,0,0,0,0,0,0,0,0,0,0,AIDS
' vomiting',' indigestion',' loss_of_appetite',' abdominal_pain',' internal_itching',0,0,0,0,0,0,0,0,0,0,0,0,'Peptic ulcer diseae'
itching,' skin_rash',' fatigue',' lethargy',' high_fever',' headache',' loss_of_appetite',' mild_fever',' swelled_lymph_nodes',' malaise',' red_spots_over_body',0,0,0,0,0,0,'Chicken pox'
itching,' skin_rash',' stomach_pain',' burning_micturition',0,0,0,0,0,0,0,0,0,0,0,0,0,'Drug Reaction'
' muscle_weakness',' stiff_neck',' swelling_joints',' movement_stiffness',' painful_walking',0,0,0,0,0,0,0,0,0,0,0,0,Arthritis
' joint_pain',' vomiting',' fatigue',' yellowish_skin',' dark_urine',' nausea',' abdominal_pain',' yellowing_of_eyes',0,0,0,0,0,0,0,0,0,'Hepatitis D'
' joint_pain',' vomiting',' fatigue',' yellowish_skin',' dark_urine',' nausea',' loss_of_appetite',' abdominal_pain',' yellowing_of_eyes',0,0,0,0,0,0,0,0,'Hepatitis D'
' vomiting',' headache',' spinning_movements',' loss_of_balance',' unsteadiness',0,0,0,0,0,0,0,0,0,0,0,0,'(vertigo) Paroymsal  Positional Vertigo'
itching,' skin_rash',' nodal_skin_eruptions',0,0,0,0,0,0,0,0,0,0,0,0,0,0,'Fungal infection'
' joint_pain',' vomiting',' fatigue',' high_fever',' yellowish_skin',' dark_urine',' nausea',' loss_of_appetite',' abdominal_pain',' yellowing_of_eyes',' acute_liver_failure',' coma',' stomach_bleeding',0,0,0,0,'Hepatitis E'
' muscle_wasting',' patches_in_throat',' high_fever',' extra_marital_contacts',0,0,0,0,0,0,0,0,0,0,0,0,0,AIDS
' joint_pain',' yellowish_skin',' dark_urine',' nausea',' loss_of_appetite',' abdominal_pain',' diarrhoea',' mild_fever',' yellowing_of_eyes',' muscle_pain',0,0,0,0,0,0,0,'hepatitis A'
' fatigue',' cold_hands_and_feets',' mood_swings',' lethargy',' dizziness',' puffy_face_and_eyes',' enlarged_thyroid',' brittle_nails',' swollen_extremeties',' depression',' irritability',' abnormal_menstruation',0,0,0,0,0,Hypothyroidism
' skin_rash',' joint_pain',' skin_peeling',' silver_like_dusting',' small_dents_in_nails',0,0,0,0,0,0,0,0,0,0,0,0,Psoriasis
' joint_pain',' neck_pain',' knee_pain',' hip_joint_pain',' swelling_joints',' painful_walking',0,0,0,0,0,0,0,0,0,0,0,Osteoarthristis
' continuous_sneezing',' shivering',' chills',' watering_from_eyes',0,0,0,0,0,0,0,0,0,0,0,0,0,Allergy
' skin_rash',' nodal_skin_eruptions',' dischromic _patches',0,0,0,0,0,0,0,0,0,0,0,0,0,0,'Fungal infection'
' fatigue',' weight_loss',' restlessness',' lethargy',' blurred_and_distorted_vision',' obesity',' excessive_hunger',' increased_appetite',' polyuria',0,0,0,0,0,0,0,0,'Diabetes '
' joint_pain',' neck_pain',' knee_pain',' hip_joint_pain',' swelling_joints',' painful_walking',0,0,0,0,0,0,0,0,0,0,0,Osteoarthristis
' vomiting',' yellowish_skin',' nausea',' loss_of_appetite',' abdominal_pain',' yellowing_of_eyes',0,0,0,0,0,0,0,0,0,0,0,'Chronic cholestasis'
